Name,Category,Tourist_Level,Price_Range,Numerical_Price,Best_Season,Vibe,Description,Rating,VibeDescription,Suburb,place_id,image_url,Safety_Level
Cape Town Meadery,Drink,3,R,R100-R200,All Year,"['Ancient', 'Honey', 'Unique']","Learn about and taste mead, the ancient African beverage made from honey.",4.9,"Velvet warmth, a soft amber hush, and a welcoming buzz invite you to linger.",Retreat,ChIJUQ_Ovh1dzB0REEIUmKNVVQk,/images/venues/cape-town-meadery-81f6.jpg,caution
Borruso’s,Food,3,RR,R130-R200,All Year,"['Warm', 'Neighborhood', 'Casual']","A welcoming Kenilworth neighborhood favorite where locals flock for thin-based, wood-fired pizzas and no corkage fees.",4.5,"Warmth cradles the room, inviting you to linger, smile, and savor the moment.",Kenilworth,ChIJNernS-dCzB0RbRpc_jm6ZbQ,/images/venues/borruso-s-31d7.jpg,normal
Groot Phesantekraal,Food,3,RR,R150-R300,All Year,"['Historic', 'Farm-to-table', 'Scenic']",A restored 18th-century stable in Durbanville offering thoughtful farmhouse breakfasts using seasonal produce from the local farm.,4.4,"Amber warmth and earthy glow wrap you in a timeless, inviting hush.",Durbanville,ChIJOTUhcgBXzB0RwheovNHACho,/images/venues/groot-phesantekraal-96fe.jpg,normal
Soeul Pocha,Food,3,RR,R175-R350,All Year,"['Family-run', 'Authentic', 'Interactive']",A newly opened family-run Korean barbecue spot in Rondebosch offering authentic marinated beef and pork belly sets.,4.7,"Warm amber glow, soft laughter, and a welcoming pulse inviting you to stay a little longer.",Rondebosch,ChIJz_o4AjBdzB0Rpm81VBCfc3E,/images/venues/soeul-pocha-f779.jpg,normal
Cape Town Tunnels,Activity,3,RR,R300,All Year,"['Spooky', 'Secret', 'Historical']",Explore 17th-century secret tunnels running below the city with a qualified guide.,4.3,"Whispered echoes cradle your curiosity, inviting you into warm, shadowed wonder.",Cape Town City Centre,ChIJy9ecW31nzB0R7NlX6jn0oe4,/images/venues/cape-town-tunnels-6b95.jpg,normal
!Khwa ttu San Tour,Culture,3,RR,R350,All Year,"['Indigenous', 'Educational', 'Nature']","Experience San culture through tea tastings, tracking lessons, and field foraging.",4.5,"Warm, sunlit whispers cradle you, inviting lingering, curiosity, and a heart-opening hush.",Yzerfontein,ChIJK3FPaRu7zB0RZ2rT04-a4LQ,/images/venues/khwa-ttu-san-tour-3c87.jpg,normal
Darling Sweet,Food,3,R,R50-R150,All Year,"['Sweet', 'Handmade', 'Nostalgic']",Taste old-fashioned handmade toffees at the famous Darling Sweets.,4.5,"Honeyed hush wraps you in nostalgic glow, inviting a slow, delightful linger.",Darling,ChIJ-y2Mdta4zB0RabHVBhsL794,/images/venues/darling-sweet-789b.jpg,normal
Golden Dish,Food,3,RR,R55-R150,All Year,"['Lively', 'Iconic', 'Fusion']",Legendary Gatesville institution famous for its Masala Steak Full House Gatsby and massive local fan base.,4.2,"A warm, intimate buzz wraps you in velvet glow, inviting you to linger and smile.",Gatesville,ChIJU3jYdaxEzB0R6nmVm2gfcPA,/images/venues/golden-dish-5fd0.jpg,caution
Seebamboes,Food,3,RRR,R800+,All Year,"['Surprise', 'Industrial', 'Sea']","A unique ""culinary conversation"" between land and sea featuring a fixed surprise menu.",4.8,"Warm glow, soulful energy, and a salty hush inviting you to linger in blissful anticipation.",District Six,ChIJubqmwqBnzB0RR85zUnXVZIw,/images/venues/seebamboes-12e9.jpg,caution
Cosy Corner,Food,3,RR,R90-R180,All Year,"['Traditional', 'Halaal', 'Reliable']",Family-run Wynberg staple claiming to be the first halaal eatery offering flame-grilled rump steak gatsbys.,4.2,"Cozy, ember-lit energy wraps you in a warm glow, inviting lingering, shared smiles, and a gentle, comforting buzz.",Wynberg,ChIJudISlYFDzB0RyVexyJJOU0Q,/images/venues/cosy-corner-bf67.jpg,caution
St James Tidal Pool,Nature,4,Free,Free,All Year,"['Family', 'Colorful', 'Refreshing']",Iconic tidal pool famous for its bright Victorian beach huts and safe swimming.,4.6,"Golden hush, sun-warmed air and a soft, lingering calm invite you to linger and breathe.",St James,ChIJOVeUZURAzB0RIvpYPJiUV-g,/images/venues/st-james-tidal-pool-7ad1.jpg,normal
Vergenoegd Ducks,Nature,4,Free,Free,All Year,"['Quirky', 'Vineyard', 'Family']","Watch 1,000 Indian Runner Ducks parade through the vineyard to manage pests.",4.4,"Golden light spills a warm hush, inviting a lazy, hopeful mood to linger.",Stellenbosch,ChIJOdGXRjqozR0RI8Qd4Ez0dTs,/images/venues/vergenoegd-ducks-0654.jpg,normal
Beta Beach,Nature,4,Free,Free,Summer,"['Calm', 'Protected', 'Scenic']",Small Bakoven beach featuring calm swimming waters and fantastic views of Lion's Head across the water.,4.6,"Warm sun, quiet hush, and velvet waves cradle you in a welcoming, sunlit sanctuary.",Bakoven,ChIJ-WBU9vhnzB0Rn8kpa79z5uc,/images/venues/beta-beach-da9a.jpg,normal
Barcadia,Activity,4,R,From R30,All Year,"['Retro', 'Cool', 'Playful']",Cape Town’s first arcade bar where classic games are free with drinks.,4.6,"Warm neon pulses with playful energy, inviting laughter and a delicious, carefree nostalgia.",Cape Town City Centre,ChIJ2_9UnmZnzB0RvpH3kGzY4Ew,/images/venues/barcadia-d7df.jpg,normal
Reverie Social Table,Food,4,RRR,"R1,480",All Year,"['Communal', 'Fine', 'Exclusive']",Unique dinner party experience featuring a 5-course seasonal menu shared around an 18-person communal table.,4.9,"Velvet warmth hums through shared glances and soft laughter, inviting the heart to linger.",Observatory,ChIJewRWnAddzB0RRRs-qXskh-Y,/images/venues/reverie-social-table-845e.jpg,caution
Africa Padel,Activity,4,R,R100-R125,All Year,"['Social', 'Active', 'Trendy']",A fast-paced racket sport blend of tennis and squash available at multiple city locations.,4.4,"Warmth and a pulse-quickening glow wrap you in chic, social energy and a sunlit, magnetic buzz.",Camps Bay,ChIJ_7rfHLFnzB0R1X8tj6DhcR8,/images/venues/africa-padel-74cc.jpg,normal
Starlings Café,Food,4,RR,R100-R200,Summer,"['Hidden', 'Garden', 'Homemade']","A hospital suburban institution hidden behind a hedge in Claremont, prized for its secret garden and homemade fare.",4.5,"Warm hush blooms here, wrapping you in sunlit, unhurried joy.",Claremont,ChIJpYr0Oy9DzB0R5fGKwr4E0H0,/images/venues/starlings-caf-efe3.jpg,normal
Dust & Dynamite,Drink,4,RR,R100-R250,All Year,"['Wild-West', 'Quirky', 'Old-School']","Hidden gem saloon featuring swinging doors and authentic western decor, entirely disconnected from the city's coastal identity.",4.5,"Warm, rebellious glow fills the air, inviting you to linger, laugh, and dream into the night.",District Six,ChIJwRGMGX1nzB0Rya9lxyUidwA,/images/venues/dust-dynamite-e2bd.jpg,caution
Armchair Theatre,Culture,4,RR,R100-R250,All Year,"['Bohemian', 'Vibrant', 'Eclectic']","Cornerstone of Observatory's live entertainment, hosting musicians, comedians, and diverse student crowds for over 26 years.",4.5,"Bohemian warmth crackles, inviting mischief and late-night laughter into a velvet, buzzing glow.",Observatory,ChIJHZWGeDRdzB0Rfja84XXFWd8,/images/venues/armchair-theatre-6e69.jpg,caution
Blue Rock Resort,Activity,4,RRR,R100-R300,Summer,"['Active', 'Aquatic', 'Fun']","A waterski resort offering wakeboarding, rock jumping, and diving in a quarry.",4.2,"Sunlit, electric energy and warmth invite you into a fearless, carefree rush.",Somerset West,ChIJi55dQNbLzR0RQvKZcBg0PN8,/images/venues/blue-rock-resort-a4c9.jpg,normal
Truck Norris,Food,4,R,R110,All Year,"['Mobile', 'Professional', 'Gourmet']",A premier food truck serving gourmet Texas cheese burgers with free-range beef and artisanal brioche buns at events.,4.9,"Sea-breeze glow, warm laughter, and a magnetic hum that makes you linger.",Paarden Eiland,ChIJ581RGJNnzB0RuCQ6beUgaHg,/images/venues/truck-norris-4129.jpg,normal
Mariam’s Kitchen,Food,4,RR,R135-R399,All Year,"['Local', 'Authentic', 'Generous']",A beloved family-run institution famous for authentic Cape Malay Gatsbys and spicy steak salomies.,4.2,"Sun-warmed warmth and generous, down-home energy invite lingering, grateful smiles.",Cape Town City Centre,ChIJuU2dzmFnzB0Rpc8BKuSlbCM,/images/venues/mariam-s-kitchen-f31c.jpg,normal
The Secret Gin Bar,Drink,4,RRR,R150,All Year,"['Hidden', 'Chilled', 'Local']",A dimly lit bar hidden behind a chocolate cafe serving artisanal local gins.,4.6,"Velvet hush and warm glow cradle intimate curiosity, gifting a playful, lingering bliss.",Cape Town City Centre,ChIJSXxE6GVnzB0RtsJEWII0esg,/images/venues/the-secret-gin-bar-0ade.jpg,normal
The NOB,Food,4,RR,R150+,All Year,"['Massive', 'Casual', 'Views']","Standing for ""No Ordinary Burger,"" this Tygerfalls spot serves huge gourmet burgers with impressive views of the water.",4.5,"Warm, electric hush; a magnetic glow inviting you to linger, savoring the moment.",Stellenbosch,ChIJRz6wJAJRzB0RHa0r0cZYPPE,/images/venues/the-nob-3bbb.jpg,normal
Shimansky Diamond Exp.,Activity,4,RR,R200,All Year,"['Sparkly', 'Historical', 'Craft']",Learn about SA’s diamond heritage and see the art of jewelry making.,4.9,"Velvet warmth crackles with ancient shimmer, inviting you to linger in a heartbeat.",V&A Waterfront,ChIJYXr9dFpnzB0RyaVrk2emp84,/images/venues/shimansky-diamond-exp-e6d2.jpg,normal
Miller’s Point Tidal Pool,Nature,4,R,R22,Summer,"['Wild', 'Scenic', 'Remote']",Vast pool south of Simon's Town set among boulders with a fun slide and diverse marine life.,4.6,"Sun-warmed salt air and rugged light cradle a warm, inviting hush.",Simon's Town,ChIJOQx1CgA_zB0R2g9N35Zi37E,/images/venues/miller-s-point-tidal-pool-b3e0.jpg,normal
Warrior Toy Museum,Culture,4,R,R25,All Year,"['Nostalgic', 'Playful', 'Unique']","Relive your childhood through a collection of 4,000 toys, models, and lead soldiers.",4.6,"Warm whirl of yesteryear sparks giggles and wonder, inviting you to melt into carefree, kid-at-heart bliss.",Simon's Town,ChIJtV7dK1o_zB0Rdfk71n2YaFE,/images/venues/warrior-toy-museum-ae92.jpg,normal
Faeeza’s Home Kitchen,Culture,4,RR,R250-R400,All Year,"['Intimate', 'Educational', 'Passionate']",Immersion into Cape Malay culture through hands-on cooking classes hosted by a passionate local expert.,4.5,"Hushed, warm energy envelopes you in a close, curious glow.",Bo-Kaap,ChIJj-mFzdlnzB0RzpiePwqElwA,/images/venues/faeeza-s-home-kitchen-12c3.jpg,caution
South Yeaster Bakery,Food,4,R,R50-R100,All Year,"['Artisanal', 'Fresh', 'Local']","A high-quality Hout Bay bakery serving top-tier coffee and naturally leavened pastries, popular with local cyclists.",4.8,"Warmth hums in a golden room, where every moment feels like a soft, inviting embrace.",Hout Bay,ChIJn2ZoGvBpzB0RvP9ZoQJjtsE,/images/venues/south-yeaster-bakery-a1b5.jpg,normal
Mabu Vinyl,Culture,4,R,R50-R500,All Year,"['Vintage', 'Musical', 'Nostalgic']","A record store featured in ""Searching for Sugar Man"" selling rare books and vinyl.",4.8,"Warm vinyl hum, velvet nostalgia, doors sigh open to a sunlit heartbeat of forgotten grooves.",Gardens,ChIJBTgntXFnzB0RgiBhc-ERcDI,/images/venues/mabu-vinyl-9cad.jpg,normal
Palmiet Rapids,Activity,4,RRR,R600-R900,Summer,"['Wet', 'Thrilling', 'Natural']","Tube down white-water rapids in two-person inflatable ""crocodiles"".",4.8,"Sun-warmed, electric hush invites you to lean in and savor a bold, intimate glow.",Elgin,ChIJqXXKyp_PzR0R5Nqg7LOWTGg,/images/venues/palmiet-rapids-4018.jpg,normal
Spier Segway Tour,Activity,4,RRR,R700,All Year,"['Fun', 'Green', 'Vineyard']",Glide through lush Stellenbosch vineyards on a guided eco-friendly Segway excursion.,4.9,"Sun-warmed, joyful hush wraps you in a lush, inviting glow.",Stellenbosch,ChIJnQuXRedMzB0RAbXHET6jAPQ,/images/venues/spier-segway-tour-71e4.jpg,normal
Tapi Tapi Ice-Cream,Food,4,R,R80-R120,All Year,"['Afrocentric', 'Unique', 'Sweet']",A hole-in-the-wall featuring African flavors like hibiscus curd and sorghum porridge.,4.9,"Warmth crackles in the air, a sunlit hush of sweetness and stories that invite you to linger.",Observatory,ChIJu5V5wfRdzB0RTEmiLyVJ26o,/images/venues/tapi-tapi-ice-cream-422f.jpg,caution
The Blue Café,Food,4,R,R80-R150,All Year,"['Historic', 'Neighborhood', 'Sidewalk']","An adorable sidewalk cafe open since 1903, serving homemade pastries and groceries in the heart of Tamboerskloof.",4.5,"Embers of sunset warmth, intimate murmurs, and a honey-soft hum inviting you to linger.",Tamboerskloof,ChIJsZupSG1nzB0RrgSH8WXX9lI,/images/venues/the-blue-caf-c922.jpg,normal
Saunders' Rocks Beach,Nature,5,Free,Free,All Year,"['Scenic', 'Refreshing', 'Local']",An iconic rock pool and beach spot popular with Sea Point locals for sunset picnics and cold plunges.,4.7,"Sun-kissed hush and warm tides wrap you in a soft, inviting glow.",Sea Point,ChIJL0UPiuBmzB0RicEyB8Id_LI,/images/venues/saunders-rocks-beach-82e4.jpg,normal
Dalebrook Tidal Pool,Nature,5,Free,Free,All Year,"['Atmospheric', 'Communal', 'Sunrise']","Iconic Kalk Bay pool accessed via a rail subway, famous for its early-morning community swim rituals.",4.5,"Salt-warmed hush and sunlit calm cradle kindred hearts in a radiant, unseen glow.",Kalk Bay,ChIJ82QIaUBAzB0RsU8EreWpGNQ,/images/venues/dalebrook-tidal-pool-6466.jpg,normal
Newlands Ravine,Nature,3,Free,Free,All Year,"['Active', 'Shady', 'Panoramic']",Lesser-known hiking trail through shady forests offering incredible views of False Bay and the city bowl.,5.0,"Emerald shade and a warm hush cradle you in a velvet, sunlit invitation.",Table Mountain,ChIJB-bbbFxdzB0RDdlamtlttZA,/images/venues/newlands-ravine-5446.jpg,normal
Milnerton Flea Market,Activity,5,Free,Free,All Year,"['Casual', 'Local', 'Unique']",An outdoor treasure hunt with over 250 stalls offering everything under the sun.,4.1,Sun-warmed chatter and welcoming energy invite you to linger and discover.,Paarden Eiland,ChIJz0t6pDNczB0RVcCMRRk_pQc,/images/venues/milnerton-flea-market-46e5.jpg,normal
Battery Park,Activity,5,Free,Free,All Year,"['Urban', 'Active', 'Family']","Modern park featuring canals, a skatepark, and cafes, acting as a gateway to the V&A Waterfront.",4.6,"Warmth hums through sunlit air, inviting easy smiles, shared moments, and a bright, welcoming heartbeat.",V&A Waterfront,ChIJI6FTSUlnzB0R2A8z2iBM1zg,/images/venues/battery-park-f8ac.jpg,normal
The Crypt,Activity,5,RR,From R150,All Year,"['Moody', 'Unique', 'Musical']",A world-class jazz club located in the basement of a stone church.,4.5,"Velvet hush keeps time with a secret heartbeat, inviting you to stay.",Cape Town City Centre,ChIJU1arrMpnzB0RWPJY2jPiR9Q,/images/venues/the-crypt-b721.jpg,normal
Woodstock Brewery,Drink,5,R,From R90,All Year,"['Craft', 'Rebellious', 'Social']",A local favorite pouring bold craft beers in a lively industrial setting.,4.3,"Warm, electric buzz wraps you in soft rebellion and easy laughter, inviting you to stay and share stories.",Woodstock,ChIJ3cjIhKFdzB0R9fOwD5YZej0,/images/venues/woodstock-brewery-353b.jpg,caution
Jazz Safari,Culture,5,RRR,"R1,000+",All Year,"['Intimate', 'Musical', 'Authentic']",A 4-hour tour through the homes of local jazz artists with live performances.,5.0,"Warm, intimate, magnetic energy that invites you to linger in soulful echoes.",Somerset West,ChIJmR4T42VnzB0RcNZ246tAv74,/images/venues/jazz-safari-837f.jpg,normal
Buffelsfontein Safari,Nature,5,RRR,"R1,200+",All Year,"['Coastal', 'Wildlife', 'Scenic']",A game reserve on the West Coast home to four of the Big 5.,4.4,Sunlit hush and a warm heartbeat of the wild cradle you in a sunset-kissed moment.,Langebaan,ChIJ62iH4y-uzB0RiliqAAoWplg,/images/venues/buffelsfontein-safari-a3d4.jpg,normal
Chart Farm,Nature,5,RR,R10 - R12,All Year,"['Floral', 'Scenic', 'Chill']",DIY rose picking in a charming farm setting with surrounding vineyard views.,4.3,"Sun-warmed hush, a velvet glow, and easy, lingering joy wrap you in inviting, carefree calm.",Wynberg,ChIJ9SGOJL5CzB0RXHXRtR0BbYg,/images/venues/chart-farm-9da6.jpg,caution
Pizza Shed,Food,5,R,R115-R225,All Year,"['Wood-fired', 'Neapolitan', 'Relaxed']","Slings some of the best wood-fired Neapolitan pizzas in the city with a focus on simple, perfect crusts.",4.6,"Low glow, soft laughter, and a warm, magnetic pulse that invites you to linger.",Cape Town City Centre,ChIJZcE_wvFnzB0RJNLBvjtCkzY,/images/venues/pizza-shed-48a6.jpg,normal
Massimo’s,Food,5,RR,R120-R200,All Year,"['Community', 'Italian', 'Lively']",A Hout Bay classic known for exceptional pizza and strong community engagement through charity-linked menu items.,4.4,"Warmth hums with cheerful, generous energy; where every moment feels like a welcoming hug.",Hout Bay,ChIJR3diW_dozB0Rhpd8PDwaThc,/images/venues/massimo-s-b203.jpg,normal
Chardonnay Deli,Food,5,RR,R150-R250,All Year,"['Rustic', 'Forest', 'Friendly']","A rustic farm-style deli in High Constantia and Kalk Bay serving healthy, indulgent breakfasts and artisanal baked goods.",4.4,"Warmth hums through the air, inviting you to linger, smile, and belong.",Constantia,ChIJR5YR8H5CzB0RyPIz8Kb0ZkI,/images/venues/chardonnay-deli-548c.jpg,normal
Aegir Project,Drink,5,RR,R150-R250,Summer,"['Craft-beer', 'Sunset', 'Laid-back']",A Noordhoek favorite serving fine craft beers and pizzas with stunning sunset views over the Atlantic coast.,4.7,"Sun-warmed, velvet calm ripples into a friendly, unrushed glow that invites you to linger.",Hout Bay,ChIJd8eg6rhrzB0RzzUqwHWY28w,/images/venues/aegir-project-ad6a.jpg,normal
Dias Tavern,Food,5,RR,R150-R250,All Year,"['Portuguese', 'No-frills', 'Generous']","A long-standing Portuguese restaurant near the castle known for spicy peri-peri chicken and massive, no-frills portions.",4.5,"Warm, electric energy hums with generous warmth, inviting you to belong.",District Six,ChIJPfVrGX1nzB0RzET5eJ-gdiE,/images/venues/dias-tavern-6405.jpg,caution
Seven Colours Eatery,Food,5,RR,R150-R250,All Year,"['Authentic', 'Local', 'Flavorful']",Traditional South African cuisine like vetkoek and tshisanyama served at Battery Park.,4.8,"Warm, inviting glow and easy laughter wrap you in a heartbeat of cozy togetherness.",V&A Waterfront,ChIJp7zBbcBnzB0R-Q0q8fDVUWw,/images/venues/seven-colours-eatery-4ced.jpg,normal
Biesmiellah,Food,5,RR,R150-R250,All Year,"['Laid-back', 'Traditional', 'Halaal']",Stalwart Bo-Kaap establishment celebrated for its authentic bredies and spiced koesisters in a simple setting.,4,"Amber-lit ease wraps you in a slow, welcoming hush that makes time surrender to warmth.",Bo-Kaap,ChIJHzEevGhnzB0RXrMsWSryv-M,/images/venues/biesmiellah-556e.jpg,caution
Una Más Mezcaleria,Drink,5,RR,R150-R300,All Year,"['Intimate', 'Spicy', 'Mexican']","Small Sea Point bar specializing in tequila, mezcal, and some of the best spicy palomas in town.",4.4,"Amber glow, intimate warmth, and a spicy, inviting hum wrap you in instant connection.",Sea Point,ChIJ5dWRLK1nzB0R2Z8ER-g7kQY,/images/venues/una-m-s-mezcaleria-9abb.jpg,normal
Rollercade (V&A),Activity,5,RR,R180,All Year,"['Retro', 'Fun', 'Neon']",Cape Town's first indoor roller-skating park featuring a disco atmosphere and arcade games.,4.5,"Warm electric glow wraps you in laughter and light, inviting bright moments and carefree, glittering joy.",V&A Waterfront,ChIJy-LI0yZnzB0RmO2ehX0H6cc,/images/venues/rollercade-v-a-58af.jpg,normal
Bodega Ramen,Food,5,RR,R180-R280,Winter,"['Secret', 'Relaxed', 'Tasty']","Hidden upstairs from a bar, this unpretentious spot serves what many consider the best ramen in Cape Town.",4.6,"Warm hush, golden glow, and a patient, inviting buzz that makes time melt.",Cape Town City Centre,ChIJkW3B22JdzB0RL4lFwlvVYsk,/images/venues/bodega-ramen-35e8.jpg,normal
Intaka Island,Nature,5,R,R22 - R55,All Year,"['Natural', 'Peaceful', 'Educational']",A 16-hectare wetland bird sanctuary providing a break from city hustle in Century City.,4.5,"Warm hush, sun-washed air, and a soft chorus of wings invite you to linger in nature's tender glow.",Century City,ChIJA5rgAAVczB0RxY9hxxv-SWg,/images/venues/intaka-island-bfd4.jpg,normal
Ramenhead,Food,5,RR,R250,All Year,"['Noodle', 'Creamy', 'Quick']","Expertly crafted ramen with rich, seasoned broth located in the Time Out Market.",4.4,"Amber-glow warmth and soft steam cradle you in a cozy, inviting buzz.",Cape Town City Centre,ChIJkzxK0GJnzB0R4O_aUdBgD2A,/images/venues/ramenhead-1b65.jpg,normal
Art of Duplicity,Drink,5,RR,R250-R500,All Year,"['Secret', 'Glamorous', 'Masterful']","Hidden speakeasy styled after the 1920s, offering bespoke cocktails and live jazz in a mystery location.",4.3,"Velvet hush of secret glamour hums through the room, daring you to indulge in masterful nocturnal magic.",Cape Town City Centre,ChIJzS3nZZxdzB0RzoZ78Dk44NE,/images/venues/art-of-duplicity-9786.jpg,normal
SUP (V&A Canals),Activity,5,RR,R280,All Year,"['Calm', 'Urban', 'Leisurely']",Paddle through the Waterfront canals like a Venetian gondolier on a stable board.,4.8,"Electric warmth, relaxed city pulse, inviting a gentle, carefree glide through the glow.",V&A Waterfront,ChIJgRvOBVxnzB0RtfY32ZuvMDY,/images/venues/sup-v-a-canals-c2e1.jpg,normal
Scala Pasta Bar,Food,5,RR,R300+,All Year,"['Italian', 'Dimmed', 'Shared']",Modern Italian dining specializing in shared homemade pasta dishes and negronis.,4.4,"Velvet hush and amber glow cradle gentle conversation, inviting hearts to linger.",Cape Town City Centre,ChIJsYsRafRnzB0RSwQ80TCCPAA,/images/venues/scala-pasta-bar-a99f.jpg,normal
HintHunt Escape Room,Activity,5,RR,R395,All Year,"['Intellectual', 'Thrilling', 'Mystery']",Solve puzzles and riddles within 60 minutes to complete high-stakes missions at the Waterfront.,4.8,"Warmth blooms as curiosity surges, camaraderie lights the room with playful, breathless suspense.",V&A Waterfront,ChIJFx2nS6FdzB0RWr9GNWrCGI8,/images/venues/hinthunt-escape-room-21a3.jpg,normal
Ground Art Caffé,Drink,5,RR,R45-R150,All Year,"['Artistic', 'Mountain-views', 'Quality']",A neighborhood coffee shop blending micro-roasted African Arabica blends with local art and Table Mountain views.,4.8,Warm hush of creativity wraps you in velvet light and welcoming energy.,De Waterkant,ChIJI3jz7WdnzB0RQPQb_RNbUoU,/images/venues/ground-art-caff-415e.jpg,normal
SurfaRosa,Drink,5,RR,R60-R150,All Year,"['Edgy', 'Grungy', 'Punk-Rock']","Edgy dive bar with surfer influences, loud alternative music, and a zero-pretentiousness atmosphere for good people.",4.5,"Warmth crackles with electric edge, inviting bold hearts to linger in the glow of a rebellious night.",District Six,ChIJ41Bm-XxnzB0RY7oWK6XqjsY,/images/venues/surfarosa-4e98.jpg,caution
Arthur’s Mini Super,Food,5,RR,R80-R150,All Year,"['Retro', 'Cute', 'Relaxed']","A retro-style Sea Point deli and cafe famous for ""Things on Toast"" and iconic pizza toasties with anchovies.",4.5,"Warmth and a retro glow drape cozy chatter, inviting lingering smiles and carefree, sun-kissed ease.",Sea Point,ChIJMTOWk15nzB0ROUdHNj4AWOU,/images/venues/arthur-s-mini-super-da90.jpg,normal
Cape Canopy Tour,Activity,5,RRR,R895,All Year,"['Natural', 'Extreme', 'Majestic']",Zipline through a hidden valley and over waterfalls in the Grabouw mountains,4.9,"Sun-warmed air, wind-kissed vistas, and a fearless, magnetic glow inviting you to lean into wonder.",Elgin,ChIJfWMCP3THzR0R_8QVpSATqYM,/images/venues/cape-canopy-tour-a8d5.jpg,normal
Kloof Corner,Nature,6,Free,Free,All Year,"['Stunning', 'Brief', 'Panoramic']","A short 20-minute hike offering unparalleled panoramic views of Table Mountain, Lion's Head, and the Atlantic.",4.8,"Warm hush, a golden glow lifting the spirit into quiet triumph and open, breathless possibility.",Table Mountain,ChIJh3bwdqNnzB0RpBDzZyjRCqA,/images/venues/kloof-corner-1b5b.jpg,normal
